Series ID,Year,Period,Label,Value,1-Month Net Change
LNS12000000,2024,M03,2024 Mar,161425,412
LNS12000000,2024,M04,2024 Apr,161495,70
LNS12000000,2024,M05,2024 May,161164,-331
LNS12000000,2024,M06,2024 Jun,161155,-9
LNS12000000,2024,M07,2024 Jul,161219,64
LNS12000000,2024,M08,2024 Aug,161425,206
LNS12000000,2024,M09,2024 Sep,161802,377
LNS12000000,2024,M10,2024 Oct,161456,-346
LNS12000000,2024,M11,2024 Nov,161183,-273
LNS12000000,2024,M12,2024 Dec,161661,478
LNS12000000,2025,M01,2025 Jan,163895,2234
LNS12000000,2025,M02,2025 Feb,163307,-588
LNS12000000,2025,M03,2025 Mar,163508,201
LNS12000000,2025,M04,2025 Apr,163969,461
LNS12000000,2025,M05,2025 May,163273,-696
LNS12000000,2025,M06,2025 Jun,163366,93
LNS12000000,2025,M07,2025 Jul,163106,-260
LNS12000000,2025,M08,2025 Aug,163394,288
LNS12000000,2025,M09,2025 Sep,163645,251
